Area_Type,Area_Name,Year,Time_Period,Ownership,NAICS_Level,NAICS_Code,Industry_Name,Establishments,Average_Monthly_Employment,1st_Month_Emp,2nd_Month_Emp,3rd_Month_Emp,Total_Wages,Average_Weekly_Wages
California - Statewide,California,2020,Annual,Private,6,711211,Sports Teams and Clubs,254,7133,0,0,0,2376824232,6408
California - Statewide,California,2020,Annual,Private,5,52391,Miscellaneous Intermediation,1101,6113,0,0,0,1973995258,6210
County,Colusa County,2020,Annual,Private,4,4249,Misc Nondurable Goods Merchant Whsle,10,169,0,0,0,15140732,1725
County,Colusa County,2020,Annual,Private,4,4247,Petroleum Merchant Wholesalers,3,24,0,0,0,1887538,1497
County,Colusa County,2020,Annual,Federal Government,4,9241,Administration of Environmental Programs,2,34,0,0,0,2608651,1483
County,Colusa County,2020,Annual,Private,3,424,"Merchant Wholesalers, Nondurable Goods",16,360,0,0,0,25867650,1383
County,Colusa County,2020,Annual,Private,3,522,Credit Intermediation & Related Activity,8,63,0,0,0,4361942,1335
County,Colusa County,2020,Annual,Private,6,115112,"Soil Preparation, Planting, Cultivating",25,194,0,0,0,13328845,1321
County,Colusa County,2020,Annual,Private,4,3112,Grain and Oilseed Milling,9,594,0,0,0,40793575,1320
County,Colusa County,2020,Annual,Private,2,42,Wholesale Trade,28,603,0,0,0,40493032,1292
County,Colusa County,2020,Annual,Private,2,52,Finance and Insurance,16,89,0,0,0,5922860,1287
County,Colusa County,2020,Annual,Private,4,4842,Specialized Freight Trucking,14,130,0,0,0,8684052,1281
County,Contra Costa County,2020,Annual,Private,5,71132,Promoters without Facilities,11,23,0,0,0,10350544,8686
County,Contra Costa County,2020,Annual,Private,5,52311,Investment Banking & Securities Dealing,46,328,0,0,0,107577015,6301
County,Contra Costa County,2020,Annual,Private,4,5259,Other Investment Pools and Funds,9,58,0,0,0,18418124,6133
County,Contra Costa County,2020,Annual,Private,4,5231,Security & Commodity Investment Activity,114,862,0,0,0,236937856,5286
County,Contra Costa County,2020,Annual,Private,5,51741,Satellite Telecommunications,4,4,0,0,0,908892,4994
County,Contra Costa County,2020,Annual,Private,6,523120,Securities Brokerage,63,497,0,0,0,121974013,4720
County,Contra Costa County,2020,Annual,Private,5,22112,Electric Power Transmission/Distribution,4,77,0,0,0,15387027,3864
County,Contra Costa County,2020,Annual,Private,6,541511,Custom Computer Programming Services,330,2374,0,0,0,476023572,3856
County,Contra Costa County,2020,Annual,Private,6,621512,Diagnostic Imaging Centers,13,256,0,0,0,51274075,3855
County,Contra Costa County,2020,Annual,Private,3,523,Financial Investment & Related Activity,500,2455,0,0,0,474236558,3716
County,Del Norte County,2020,Annual,Federal Government,3,924,Administration of Environmental Programs,1,46,0,0,0,3629988,1520
County,Del Norte County,2020,Annual,Private,6,114112,Shellfish Fishing,23,35,0,0,0,2610664,1441
County,Del Norte County,2020,Annual,Federal Government,4,9231,Administration of Human Resource Program,1,4,0,0,0,285861,1269
County,Del Norte County,2020,Annual,Private,3,424,"Merchant Wholesalers, Nondurable Goods",3,5,0,0,0,346456,1269
County,Del Norte County,2020,Annual,Private,5,23821,Electrical Contractors,4,16,0,0,0,1018669,1264
County,Del Norte County,2020,Annual,State Government,3,922,"Justice, Public Order, and Safety Activi",42,1376,0,0,0,88201024,1233
County,Del Norte County,2020,Annual,Federal Government,2,1028,Public Administration,4,69,0,0,0,4434821,1230
County,Del Norte County,2020,Annual,State Government,1,102,Service-Providing,49,1459,0,0,0,91433187,1205
County,Del Norte County,2020,Annual,Private,3,517,Telecommunications,6,31,0,0,0,1958896,1202
County,Del Norte County,2020,Annual,Private,4,1141,Fishing,47,95,0,0,0,5893116,1196
County,El Dorado County,2020,Annual,Private,5,52311,Investment Banking & Securities Dealing,6,20,0,0,0,4458178,4323
County,El Dorado County,2020,Annual,Private,5,62151,Medical and Diagnostic Laboratories,5,71,0,0,0,15287108,4165
County,El Dorado County,2020,Annual,Private,5,54182,Public Relations Agencies,6,9,0,0,0,1538571,3414
County,El Dorado County,2020,Annual,Private,6,523930,Investment Advice,23,43,0,0,0,7215682,3221
County,El Dorado County,2020,Annual,Private,6,522292,Real Estate Credit,13,36,0,0,0,5948680,3178
County,El Dorado County,2020,Annual,Private,4,2211,Power Generation and Supply,4,180,0,0,0,27238725,2907
County,El Dorado County,2020,Annual,Private,4,5222,Nondepository Credit Intermediation,18,41,0,0,0,6062877,2850
County,El Dorado County,2020,Annual,Private,5,52231,Mortgage and Nonmortgage Loan Brokers,19,47,0,0,0,6929255,2825
County,El Dorado County,2020,Annual,Federal Government,6,922120,Police Protection,1,4,0,0,0,535960,2749
County,El Dorado County,2020,Annual,Private,2,22,Utilities,10,210,0,0,0,29535631,2706
County,Fresno County,2020,Annual,Private,5,52311,Investment Banking & Securities Dealing,14,111,0,0,0,22783881,3956
County,Fresno County,2020,Annual,Private,4,5231,Security & Commodity Investment Activity,37,222,0,0,0,42564106,3690
County,Fresno County,2020,Annual,Private,5,51512,Television Broadcasting,12,816,0,0,0,148624173,3503
County,Fresno County,2020,Annual,Private,6,551112,Offices of Other Holding Companies,7,11,0,0,0,1676443,2887
County,Fresno County,2020,Annual,Private,6,522292,Real Estate Credit,27,164,0,0,0,23396704,2749
County,Fresno County,2020,Annual,Private,3,515,Broadcasting (except Internet),32,1298,0,0,0,184334438,2731
County,Fresno County,2020,Annual,Private,3,486,Pipeline Transportation,4,37,0,0,0,5108063,2667
County,Fresno County,2020,Annual,Private,3,221,Utilities,34,2378,0,0,0,329322238,2664
County,Fresno County,2020,Annual,State Government,5,92312,Administration of Public Health Programs,24,158,0,0,0,21327780,2599
County,Fresno County,2020,Annual,Private,6,424130,Industrial Paper Merchant Wholesalers,8,175,0,0,0,23513581,2578
County,Glenn County,2020,Annual,Private,6,237110,Water and Sewer System Construction,4,24,0,0,0,2420801,1981
County,Glenn County,2020,Annual,Private,5,52421,Insurance Agencies and Brokerages,8,29,0,0,0,2687981,1793
County,Glenn County,2020,Annual,Private,3,524,Insurance Carriers & Related Activities,11,60,0,0,0,5556297,1786
County,Glenn County,2020,Annual,Private,3,237,Heavy and Civil Engineering Construction,7,62,0,0,0,5637739,1737
County,Glenn County,2020,Annual,Private,6,115112,"Soil Preparation, Planting, Cultivating",8,46,0,0,0,4041095,1702
County,Glenn County,2020,Annual,State Government,1,102,Service-Providing,4,44,0,0,0,3743742,1639
County,Glenn County,2020,Annual,Federal Government,4,9241,Administration of Environmental Programs,4,117,0,0,0,9794397,1604
County,Glenn County,2020,Annual,Private,5,54151,Computer Systems Design and Rel Services,3,6,0,0,0,456448,1572
County,Glenn County,2020,Annual,Private,2,21,Mining,5,35,0,0,0,2643139,1456
County,Glenn County,2020,Annual,Private,4,6214,Outpatient Care Centers,3,78,0,0,0,5686421,1411
County,Humboldt County,2020,Annual,Private,4,5231,Security & Commodity Investment Activity,17,57,0,0,0,9258614,3106
County,Humboldt County,2020,Annual,Federal Government,4,8132,Grantmaking and Giving Services,1,1,0,0,0,139944,2691
County,Humboldt County,2020,Annual,Private,5,52231,Mortgage and Nonmortgage Loan Brokers,4,12,0,0,0,1478043,2402
County,Humboldt County,2020,Annual,Federal Government,5,92113,Public Finance Activities,1,1,0,0,0,112527,2164
County,Humboldt County,2020,Annual,Federal Government,6,922110,Courts,2,3,0,0,0,338878,2114
County,Humboldt County,2020,Annual,Private,5,53112,Lessors of Nonresidential Buildings,6,23,0,0,0,2477878,2095
County,Humboldt County,2020,Annual,Private,5,44815,Clothing Accessories Stores,6,12,0,0,0,1291408,2055
County,Humboldt County,2020,Annual,Private,5,23731,"Highway, Street, and Bridge Construction",13,244,0,0,0,25859479,2042
County,Humboldt County,2020,Annual,Federal Government,4,9221,"Justice, Public Order, and Safety Activi",6,34,0,0,0,3430923,1922
County,Humboldt County,2020,Annual,Private,5,42446,Fish and Seafood Merchant Wholesalers,6,6,0,0,0,545549,1908
County,Imperial County,2020,Annual,Private,5,23713,Power/Communication System Construction,3,20,0,0,0,2948858,2847
County,Imperial County,2020,Annual,Private,6,522292,Real Estate Credit,6,38,0,0,0,5599826,2803
County,Imperial County,2020,Annual,Federal Government,5,92219,Other Justice and Safety Activities,1,6,0,0,0,807634,2553
County,Imperial County,2020,Annual,Local Government,6,221112,Fossil Fuel Electric Power Generation,5,403,0,0,0,43544619,2079
County,Imperial County,2020,Annual,Federal Government,6,922120,Police Protection,12,1698,0,0,0,182618817,2069
County,Imperial County,2020,Annual,Federal Government,4,9221,"Justice, Public Order, and Safety Activi",17,1745,0,0,0,187216192,2064
County,Imperial County,2020,Annual,Federal Government,5,92213,Legal Counsel and Prosecution,3,18,0,0,0,1872871,2029
County,Imperial County,2020,Annual,Local Government,5,22111,Electric Power Generation,9,593,0,0,0,60916518,1975
County,Imperial County,2020,Annual,Private,3,221,Utilities,13,467,0,0,0,47270256,1948
County,Imperial County,2020,Annual,Local Government,4,2211,Power Generation and Supply,14,621,0,0,0,62820761,1944
County,Inyo County,2020,Annual,Private,4,5411,Legal Services,7,28,0,0,0,3132768,2145
County,Inyo County,2020,Annual,Private,2,22,Utilities,11,150,0,0,0,16668660,2144
County,Inyo County,2020,Annual,Private,4,4247,Petroleum Merchant Wholesalers,3,27,0,0,0,2248952,1632
County,Inyo County,2020,Annual,Federal Government,4,9241,Administration of Environmental Programs,5,145,0,0,0,11367538,1503
County,Inyo County,2020,Annual,Private,2,23,Construction,65,228,0,0,0,17740255,1496
County,Inyo County,2020,Annual,Federal Government,2,1028,Public Administration,6,155,0,0,0,11552950,1436
County,Inyo County,2020,Annual,Private,4,6211,Offices of Physicians,13,16,0,0,0,1193736,1413
County,Inyo County,2020,Annual,Private,3,492,Couriers and Messengers,3,39,0,0,0,2775082,1365
County,Inyo County,2020,Annual,Federal Government,1,102,Service-Providing,17,295,0,0,0,20190190,1316
County,Inyo County,2020,Annual,State Government,6,926120,Transportation Program Administration,22,322,0,0,0,21949412,1310
County,Kern County,2020,Annual,Private,5,52311,Investment Banking & Securities Dealing,9,35,0,0,0,7191331,3933
County,Kern County,2020,Annual,Federal Government,5,92213,Legal Counsel and Prosecution,1,1,0,0,0,191495,3683
County,Kern County,2020,Annual,Private,6,522292,Real Estate Credit,30,190,0,0,0,32108675,3243
County,Kern County,2020,Annual,Private,6,211130,Natural Gas Extraction,11,976,0,0,0,142960247,2818
County,Kern County,2020,Annual,Private,4,5231,Security & Commodity Investment Activity,42,157,0,0,0,22958116,2806
County,Kern County,2020,Annual,Private,6,213111,Drilling Oil and Gas Wells,44,1401,0,0,0,198395946,2724
County,Kern County,2020,Annual,Private,5,23713,Power/Communication System Construction,9,372,0,0,0,51868273,2678
County,Kern County,2020,Annual,Private,3,486,Pipeline Transportation,14,182,0,0,0,24600310,2595
County,Kern County,2020,Annual,Private,3,211,Oil and Gas Extraction,39,1694,0,0,0,227880446,2588
County,Kern County,2020,Annual,Private,5,52314,Commodity Contracts Brokerage,4,42,0,0,0,5545580,2549
County,Kings County,2020,Annual,Private,4,5415,Computer Systems Design and Rel Services,10,94,0,0,0,15161814,3107
County,Kings County,2020,Annual,Private,4,5222,Nondepository Credit Intermediation,8,41,0,0,0,4826648,2259
County,Kings County,2020,Annual,Private,5,52231,Mortgage and Nonmortgage Loan Brokers,4,16,0,0,0,1778033,2171
County,Kings County,2020,Annual,Federal Government,5,54162,Environmental Consulting Services,1,21,0,0,0,2169740,2019
County,Kings County,2020,Annual,Private,3,551,Management of Companies and Enterprises,4,151,0,0,0,15110391,1920
County,Kings County,2020,Annual,Federal Government,5,92614,Agricultural Commodity/Market Regulation,2,26,0,0,0,2362167,1753
County,Kings County,2020,Annual,Private,6,541330,Engineering Services,9,41,0,0,0,3688806,1730
County,Kings County,2020,Annual,Private,6,541211,Offices of Certified Public Accountants,8,96,0,0,0,8192494,1638
County,Kings County,2020,Annual,Private,4,5413,Architectural and Engineering Services,11,45,0,0,0,3831987,1626
County,Kings County,2020,Annual,Private,6,541512,Computer Systems Design Services,5,77,0,0,0,6454957,1605
County,Lake County,2020,Annual,Private,3,221,Utilities,11,355,0,0,0,50709104,2746
County,Lake County,2020,Annual,Private,5,54172,Social Science/Humanities Research,3,7,0,0,0,702367,1885
County,Lake County,2020,Annual,Private,4,5415,Computer Systems Design and Rel Services,6,12,0,0,0,1124590,1742
County,Lake County,2020,Annual,Private,3,517,Telecommunications,5,56,0,0,0,4851954,1661
County,Lake County,2020,Annual,Private,6,238212,Nonresidential Electrical Contractors,4,39,0,0,0,3341279,1651
County,Lake County,2020,Annual,Private,3,484,Truck Transportation,5,44,0,0,0,3507917,1542
County,Lake County,2020,Annual,Private,5,54161,Management Consulting Services,9,20,0,0,0,1596799,1529
County,Lake County,2020,Annual,Federal Government,3,923,Administration of Human Resource Program,1,8,0,0,0,632389,1520
County,Lake County,2020,Annual,Federal Government,5,92412,Administration of Conservation Programs,2,66,0,0,0,5150599,1512
County,Lake County,2020,Annual,Private,4,5416,Management & Technical Consulting Svc,14,25,0,0,0,1883262,1454
County,Lassen County,2020,Annual,Federal Government,3,922,"Justice, Public Order, and Safety Activi",1,256,0,0,0,22271005,1673
County,Lassen County,2020,Annual,Federal Government,5,54133,Engineering Services,1,3,0,0,0,242741,1556
County,Lassen County,2020,Annual,Federal Government,4,9241,Administration of Environmental Programs,3,201,0,0,0,15301660,1462
County,Lassen County,2020,Annual,Private,6,621111,"Offices of Physicians, ex. Mental Health",9,127,0,0,0,9216892,1393
County,Lassen County,2020,Annual,Private,6,541690,Other Technical Consulting Services,5,10,0,0,0,729213,1379
County,Lassen County,2020,Annual,Private,4,5416,Management & Technical Consulting Svc,9,20,0,0,0,1417038,1374
County,Lassen County,2020,Annual,Federal Government,4,9231,Administration of Human Resource Program,1,6,0,0,0,395173,1341
County,Lassen County,2020,Annual,Private,2,52,Finance and Insurance,22,89,0,0,0,6155433,1338
County,Lassen County,2020,Annual,Federal Government,2,1024,Professional and Business Services,2,5,0,0,0,347073,1335
County,Lassen County,2020,Annual,Federal Government,4,6116,Other Schools and Instruction,1,2,0,0,0,124709,1308
County,Los Angeles County,2020,Annual,Private,5,51919,All Other Information Services,30,1998,0,0,0,1324172316,12746
County,Los Angeles County,2020,Annual,Private,6,336111,Automobile Manufacturing,17,260,0,0,0,114321125,8464
County,Los Angeles County,2020,Annual,Private,6,711211,Sports Teams and Clubs,59,2000,0,0,0,865645082,8323
County,Los Angeles County,2020,Annual,Private,5,71151,Independent Artists/Writers/Performers,12476,11414,0,0,0,4565414138,7692
County,Los Angeles County,2020,Annual,Private,5,52311,Investment Banking & Securities Dealing,337,2348,0,0,0,879890560,7206
County,Los Angeles County,2020,Annual,Private,6,551111,Offices of Bank Holding Companies,23,91,0,0,0,33540910,7108
County,Los Angeles County,2020,Annual,Private,5,52392,Portfolio Management,703,7031,0,0,0,2464169283,6740
County,Los Angeles County,2020,Annual,Private,4,5239,Other Financial Investment Activities,2801,16895,0,0,0,5008014545,5701
County,Los Angeles County,2020,Annual,Private,3,523,Financial Investment & Related Activity,3687,24656,0,0,0,7242903303,5649
County,Los Angeles County,2020,Annual,Private,5,52393,Investment Advice,1669,7636,0,0,0,2231145372,5619
County,Madera County,2020,Annual,Private,5,48851,Freight Transportation Arrangement,4,30,0,0,0,5380483,3498
County,Madera County,2020,Annual,Private,5,62111,Offices of Physicians,64,586,0,0,0,103234528,3389
County,Madera County,2020,Annual,Private,2,22,Utilities,10,241,0,0,0,35176696,2804
County,Madera County,2020,Annual,Private,5,11121,Vegetable and Melon Farming,10,95,0,0,0,10528512,2137
County,Madera County,2020,Annual,Private,3,621,Ambulatory Health Care Services,161,1556,0,0,0,152890496,1890
County,Madera County,2020,Annual,Private,5,51731,Wired and Wireless Telecommunications Carriers,11,222,0,0,0,20930434,1813
County,Madera County,2020,Annual,Private,5,23622,Commercial Building Construction,7,96,0,0,0,8697401,1742
County,Madera County,2020,Annual,Private,4,4246,Chemical Merchant Wholesalers,5,59,0,0,0,5340370,1731
County,Madera County,2020,Annual,Private,3,488,Support Activities for Transportation,19,94,0,0,0,8032491,1640
County,Madera County,2020,Annual,Private,6,238912,Nonresidential Site Preparation Contrs,4,51,0,0,0,4271568,1627
County,Marin County,2020,Annual,Private,5,52392,Portfolio Management,92,509,0,0,0,214187841,8100
County,Marin County,2020,Annual,Private,6,524113,Direct Life Insurance Carriers,4,5,0,0,0,1528820,6415
County,Marin County,2020,Annual,Private,4,5239,Other Financial Investment Activities,268,992,0,0,0,314659305,6103
County,Marin County,2020,Annual,Private,3,523,Financial Investment & Related Activity,318,1278,0,0,0,385209706,5799
County,Marin County,2020,Annual,Private,5,51121,Software Publishers,72,1398,0,0,0,411791106,5663
County,Marin County,2020,Annual,Private,3,325,Chemical Manufacturing,18,2737,0,0,0,739018218,5192
County,Marin County,2020,Annual,Private,6,525990,Other Financial Vehicles,5,10,0,0,0,2608002,4933
County,Marin County,2020,Annual,Private,3,511,Publishing Industries,111,1705,0,0,0,433408990,4890
County,Marin County,2020,Annual,Private,4,5231,Security & Commodity Investment Activity,50,286,0,0,0,70550401,4744
County,Marin County,2020,Annual,Private,5,53311,"Lessors, Nonfinancial Intangible Assets",4,3,0,0,0,629039,4683
County,Mariposa County,2020,Annual,Federal Government,6,922130,Legal Counsel and Prosecution,1,1,0,0,0,154713,3967
County,Mariposa County,2020,Annual,Federal Government,3,922,"Justice, Public Order, and Safety Activi",2,3,0,0,0,320584,2386
County,Mariposa County,2020,Annual,Private,3,237,Heavy and Civil Engineering Construction,5,46,0,0,0,4339268,1804
County,Mariposa County,2020,Annual,Federal Government,5,92211,Courts,1,2,0,0,0,165871,1740
County,Mariposa County,2020,Annual,Private,6,621111,"Offices of Physicians, ex. Mental Health",3,3,0,0,0,213155,1537
County,Mariposa County,2020,Annual,Private,4,5415,Computer Systems Design and Rel Services,4,26,0,0,0,1878216,1416
County,Mariposa County,2020,Annual,Federal Government,4,9241,Administration of Environmental Programs,3,17,0,0,0,1169594,1350
County,Mariposa County,2020,Annual,Federal Government,4,7121,"Museums, Parks and Historical Sites",2,573,0,0,0,35641002,1196
County,Mariposa County,2020,Annual,Federal Government,1,102,Service-Providing,16,618,0,0,0,38356043,1194
County,Mariposa County,2020,Annual,Federal Government,2,1028,Public Administration,7,28,0,0,0,1725098,1181
County,Mendocino County,2020,Annual,Private,6,522292,Real Estate Credit,3,6,0,0,0,975392,3001
County,Mendocino County,2020,Annual,Private,3,221,Utilities,6,176,0,0,0,26980890,2945
County,Mendocino County,2020,Annual,Private,4,3323,Architectural and Structural Metals,5,74,0,0,0,8273804,2141
County,Mendocino County,2020,Annual,Federal Government,6,924110,"Air, Water and Waste Program Admin",1,1,0,0,0,101821,1958
County,Mendocino County,2020,Annual,Private,4,1111,Oilseed and Grain Farming,3,5,0,0,0,445359,1869
County,Mendocino County,2020,Annual,Private,6,517311,Wired Telecommunications Carriers,6,35,0,0,0,3345828,1865
County,Mendocino County,2020,Annual,Federal Government,6,621111,"Offices of Physicians, ex. Mental Health",1,35,0,0,0,3344395,1864
County,Mendocino County,2020,Annual,Private,3,333,Machinery Manufacturing,6,71,0,0,0,6454366,1761
County,Mendocino County,2020,Annual,Private,4,6115,Technical and Trade Schools,4,8,0,0,0,706678,1717
County,Mendocino County,2020,Annual,Private,5,23731,"Highway, Street, and Bridge Construction",13,219,0,0,0,19284643,1694
County,Merced County,2020,Annual,Private,5,52311,Investment Banking & Securities Dealing,4,19,0,0,0,4431833,4408
County,Merced County,2020,Annual,Private,6,522292,Real Estate Credit,11,255,0,0,0,53363870,4023
County,Merced County,2020,Annual,Private,4,5231,Security & Commodity Investment Activity,9,27,0,0,0,5189410,3696
County,Merced County,2020,Annual,Private,4,5222,Nondepository Credit Intermediation,22,296,0,0,0,55991751,3633
County,Merced County,2020,Annual,Private,3,523,Financial Investment & Related Activity,13,41,0,0,0,5634250,2675
County,Merced County,2020,Annual,Private,3,522,Credit Intermediation & Related Activity,72,761,0,0,0,80969743,2046
County,Merced County,2020,Annual,Private,6,523120,Securities Brokerage,5,8,0,0,0,757577,1900
County,Merced County,2020,Annual,Private,2,52,Finance and Insurance,150,1276,0,0,0,115092112,1735
County,Merced County,2020,Annual,Private,6,236210,Industrial Building Construction,3,35,0,0,0,3073864,1709
County,Merced County,2020,Annual,Federal Government,6,922140,Correctional Institutions,1,348,0,0,0,30221237,1670
County,Modoc County,2020,Annual,Federal Government,2,1023,Financial Activities,1,3,0,0,0,265014,1699
County,Modoc County,2020,Annual,State Government,3,922,"Justice, Public Order, and Safety Activi",3,35,0,0,0,3015536,1681
County,Modoc County,2020,Annual,Private,6,621111,"Offices of Physicians, ex. Mental Health",3,9,0,0,0,683305,1447
County,Modoc County,2020,Annual,Federal Government,4,9241,Administration of Environmental Programs,7,171,0,0,0,12311130,1388
County,Modoc County,2020,Annual,Federal Government,5,92614,Agricultural Commodity/Market Regulation,1,3,0,0,0,231132,1368
County,Modoc County,2020,Annual,Private,4,5416,Management & Technical Consulting Svc,3,6,0,0,0,450059,1367
County,Modoc County,2020,Annual,Federal Government,2,1028,Public Administration,10,184,0,0,0,12814994,1340
County,Modoc County,2020,Annual,Federal Government,4,9231,Administration of Human Resource Program,1,1,0,0,0,67243,1293
County,Modoc County,2020,Annual,Private,3,237,Heavy and Civil Engineering Construction,6,45,0,0,0,3015518,1284
County,Modoc County,2020,Annual,Federal Government,1,102,Service-Providing,21,210,0,0,0,13870310,1269
County,Mono County,2020,Annual,Private,6,621111,"Offices of Physicians, ex. Mental Health",13,14,0,0,0,3114285,4356
County,Mono County,2020,Annual,Private,3,621,Ambulatory Health Care Services,20,39,0,0,0,4199493,2084
